Year,AuthorGender,n_authors,Group,total_authors,percent
2000,Male,133,New authors,165,0.806060606
2000,Unknown,2,New authors,165,0.012121212
2001,Female,30,New authors,173,0.173410405
2001,Male,142,New authors,173,0.820809249
2001,Unknown,1,New authors,173,0.005780347
2002,Female,22,New authors,160,0.1375
2002,Male,137,New authors,160,0.85625
2002,Unknown,1,New authors,160,0.00625
2003,Female,23,New authors,159,0.144654088
2003,Male,136,New authors,159,0.855345912
2004,Female,21,New authors,147,0.142857143
2004,Male,125,New authors,147,0.850340136
2004,Unknown,1,New authors,147,0.006802721
2005,Female,29,New authors,213,0.136150235
2005,Male,182,New authors,213,0.854460094
2005,Unknown,2,New authors,213,0.009389671
2006,Female,23,New authors,182,0.126373626
2006,Male,157,New authors,182,0.862637363
2006,Unknown,2,New authors,182,0.010989011
2007,Female,31,New authors,187,0.165775401
2007,Male,150,New authors,187,0.802139037
2007,Unknown,6,New authors,187,0.032085561
2008,Female,34,New authors,168,0.202380952
2008,Male,132,New authors,168,0.785714286
2008,Unknown,2,New authors,168,0.011904762
2009,Female,32,New authors,208,0.153846154
2009,Male,172,New authors,208,0.826923077
2009,Unknown,4,New authors,208,0.019230769
2010,Female,36,New authors,191,0.188481675
2010,Male,149,New authors,191,0.780104712
2010,Unknown,6,New authors,191,0.031413613
2011,Female,42,New authors,214,0.196261682
2011,Male,171,New authors,214,0.799065421
2011,Unknown,1,New authors,214,0.004672897
2012,Female,46,New authors,229,0.200873362
2012,Male,183,New authors,229,0.799126638
2013,Female,38,New authors,171,0.222222222
2013,Male,127,New authors,171,0.742690058
2013,Unknown,6,New authors,171,0.035087719
2014,Female,51,New authors,254,0.200787402
2014,Male,197,New authors,254,0.775590551
2014,Unknown,6,New authors,254,0.023622047
2015,Female,57,New authors,239,0.238493724
2015,Male,176,New authors,239,0.736401674
2015,Unknown,6,New authors,239,0.025104603
2016,Female,43,New authors,197,0.218274112
2016,Male,144,New authors,197,0.730964467
2016,Unknown,10,New authors,197,0.050761421
2017,Female,62,New authors,241,0.257261411
2017,Male,169,New authors,241,0.701244813
2017,Unknown,10,New authors,241,0.041493776
2018,Female,52,New authors,207,0.251207729
2018,Male,150,New authors,207,0.724637681
2018,Unknown,5,New authors,207,0.024154589
2019,Female,77,New authors,288,0.267361111
2019,Male,200,New authors,288,0.694444444
2019,Unknown,11,New authors,288,0.038194444
2020,Female,73,New authors,330,0.221212121
2020,Male,213,New authors,330,0.645454545
2020,Unknown,44,New authors,330,0.133333333
